Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
308,Hotel Transylvania 3: Summer Vacation (2018),6/28/2018,"$167,510,016.00 ","$361,073,758.00 ","$528,583,774.00 "
309,Casino Royale (2006),11/15/2006,"$167,445,960.00 ","$449,056,952.00 ","$616,502,912.00 "
312,2012 (2009),11/11/2009,"$166,112,167.00 ","$625,105,659.00 ","$791,217,826.00 "
313,Robin Hood: Prince of Thieves (1991),6/14/1991,"$165,493,908.00 ","$225,000,000.00 ","$390,493,908.00 "
314,Knives Out (2019),11/21/2019,"$165,363,234.00 ","$146,242,347.00 ","$311,605,581.00 "
318,Catch Me If You Can (2002),12/25/2002,"$164,615,351.00 ","$187,498,961.00 ","$352,114,312.00 "
319,The Proposal (2009),6/17/2009,"$163,958,031.00 ","$153,417,000.00 ","$317,375,031.00 "
320,The Pursuit of Happyness (2006),12/15/2006,"$163,566,459.00 ","$143,561,166.00 ","$307,127,625.00 "
321,Big Daddy (1999),6/25/1999,"$163,479,795.00 ","$71,322,100.00 ","$234,801,895.00 "
323,The SpongeBob Movie: Sponge Out of Water (2015),1/28/2015,"$162,994,032.00 ","$162,192,000.00 ","$325,186,032.00 "
324,Batman Returns (1992),6/19/1992,"$162,902,340.00 ","$103,990,656.00 ","$266,892,996.00 "
325,Django Unchained (2012),12/25/2012,"$162,805,434.00 ","$263,268,939.00 ","$426,074,373.00 "
326,A Bug's Life (1998),11/20/1998,"$162,798,565.00 ","$200,460,294.00 ","$363,258,859.00 "
327,Jason Bourne (2016),7/27/2016,"$162,434,410.00 ","$253,050,504.00 ","$415,484,914.00 "
328,Grown Ups (2010),6/24/2010,"$162,001,186.00 ","$109,456,115.00 ","$271,457,301.00 "
329,The Waterboy (1998),11/6/1998,"$161,491,646.00 ","$24,500,000.00 ","$185,991,646.00 "
330,Ice Age: Continental Drift (2012),6/27/2012,"$161,321,843.00 ","$715,922,939.00 ","$877,244,782.00 "
331,Straight Outta Compton (2015),8/14/2015,"$161,197,785.00 ","$40,437,206.00 ","$201,634,991.00 "
